"filename", "language", "Gradle", "JSON", "Markdown", "JSON with Comments", "Batch", "Java", "HTML", "Java Properties", "comment", "blank", "total"
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\.SysId\sysid.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\.pathplanner\settings.json", "JSON with Comments", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 23
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\.wpilib\wpilib_preferences.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\WPILib-License.md", "Markdown", 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\build.gradle", "Gradle", 62, 0, 0, 0, 0, 0, 0, 0, 19, 21, 102
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\gradlew.bat", "Batch", 0, 0, 0, 0, 41, 0, 0, 0, 30, 22, 93
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\networktables.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\settings.gradle", "Gradle", 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\simgui-ds.json", "JSON", 0, 102, 0, 0, 0, 0, 0, 0, 0, 1, 103
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\simgui.json", "JSON", 0, 155, 0, 0, 0, 0, 0, 0, 0, 1, 156
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\deploy\Dashboard.html", "HTML", 0, 0, 0, 0, 0, 0, 2404, 0, 0, 0, 2404
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\deploy\pathplanner\navgrid.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\compLevel0\FieldDetector.java", "Java", 0, 0, 0, 0, 0, 197, 0, 0, 0, 30, 227
